City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
567,Margate,GB,40.69,few clouds,51.3813,1.3862,Premier Inn Margate hotel
568,Fenoarivo,MG,68.07,broken clouds,-18.933,47.4354,Skyfol Ambodiafontsy
569,Labrea,BR,75.27,heavy intensity rain,-7.2586,-64.7981,Hotel Novo Horizonte
571,Road Town,VG,77.0,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
572,Trelew,AR,64.71,scattered clouds,-43.249,-65.3051,Hotel Touring Club
573,Lalin,ES,48.72,overcast clouds,42.7167,-8.1167,A Palleira De ROQUE
574,Winneba,GH,79.16,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
575,Camana,PE,71.85,scattered clouds,-16.6228,-72.7111,Hostal Morales
576,Teseney,ER,73.08,clear sky,15.11,36.6575,Sabrin Hotel
578,Sao Filipe,CV,77.16,overcast clouds,14.8961,-24.4956,Hotel Xaguate
579,Margherita,IN,55.72,overcast clouds,27.2833,95.6833,Dehing Guest House
580,Tarauaca,BR,75.34,overcast clouds,-8.1614,-70.7656,Flat Temporada
582,Moranbah,AU,79.41,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
584,Aswan,EG,51.53,clear sky,24.0934,32.907,Nuba Nile
589,Sakakah,SA,46.94,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
592,Zinder,NE,64.56,scattered clouds,13.8072,8.9881,Hotel de Ville
593,Nouadhibou,MR,72.46,overcast clouds,20.931,-17.0347,El Medina
596,Socorro,US,67.1,clear sky,31.6546,-106.3033,guarderia imss papalote
598,Colac,AU,65.62,few clouds,-38.3333,143.5833,Otway Gate Motel
599,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
601,Sunrise Manor,US,76.93,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
603,Wajid,SO,75.76,clear sky,3.8093,43.2471,xamdihotelresturant114
604,Katra,IN,42.24,clear sky,32.9833,74.95,KC Residency Vaishnodevi
605,Utrecht,NL,43.09,overcast clouds,52.0,5.25,Night Dijk
609,Saldanha,ZA,62.49,clear sky,-33.0117,17.9442,Blue Bay Lodge
610,Erzin,TR,47.12,few clouds,36.9559,36.2,Artemis Otel
611,Yulara,AU,77.49,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
616,Rio Gallegos,AR,51.28,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
618,Mmathubudukwane,BW,70.88,scattered clouds,-24.6,26.4333,Gill Sleepover Guesthouse
